字段代码,字段中文名
CityId,城市级别
cashTotalAmt,总取现金额
cashTotalCnt,总取现笔数
education,文化程度
idVerify,身份验证
inCourt,法院失信传唤记录
maritalStatus,婚姻状况
monthCardLargeAmt,月最大消费金额
netLength,在网时长
noTransWeekPre,年无消费周数占比
onlineTransAmt,网银消费金额
onlineTransCnt,网银消费笔数
publicPayAmt,公共消费支出金额
publicPayCnt,公共消费支出笔数
threeVerify,三要素验证
transTotalAmt,总消费金额
transTotalCnt,总消费笔数
transCnt_mean,最近12个月消费笔数均值
transCnt_non_null_months,最近12个月消费笔数记录月数
transAmt_mean,最近12个月消费金额均值
transAmt_non_null_months,最近12个月消费金额记录月数
cashCnt_mean,最近12个月取现笔数均值
cashCnt_non_null_months,最近12个月有取现笔数记录月数
cashAmt_mean,最近12个月取现金额均值
cashAmt_non_null_months,最近12个月有取现金额记录月数
isDue,有无逾期记录
isCrime,有无犯罪记录
isBlackList,黑名单信息接口查询记录
Han,民族
age,年龄
sex,性别
card_age,开卡时间距离授信申请月数